query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
789.1183114,HMDB0039371,"1,2',3,5-Tetra-O-galloylhamamelofuranose",n/a,C34H28O22,788.10722258,M+H,+,789.114499,5
789.1183114,HMDB0039186,"2,3,4,6-Tetragalloyl-D-glucopyranose",n/a,C34H28O22,788.10722258,M+H,+,789.114499,5
789.1183114,HMDB0039191,"1,2,4,6-Tetragalloyl-beta-D-glucopyranose",n/a,C34H28O22,788.10722258,M+H,+,789.114499,5
789.1183114,HMDB0039188,"1,2,3,6-Tetragalloyl-beta-D-glucopyranose",C04516,C34H28O22,788.10722258,M+H,+,789.114499,5
310.0321754,HMDB0061102,3-oxobrimonidine,n/a,C11H12BrN5O,309.022522678,M+H,+,310.029799,8
310.0321754,HMDB0060726,"2,8-bis-Trifluoromethyl-4-quinoline carboxylic acid",n/a,C12H5F6NO2,309.022447639,M+H,+,310.029724,8
374.1969777,HMDB0039503,N-Jasmonoyltyrosine,n/a,C21H27NO5,373.188922979,M+H,+,374.196199,2
374.1969777,HMDB0135465,"3-(3,4-dimethoxyphenyl)-N-[2-(3,4-dimethoxyphenyl)ethyl]propanimidic acid",n/a,C21H27NO5,373.188922973,M+H,+,374.196199,2
978.3277195,HMDB0112244,Isotetradecanoyl-CoA,n/a,C35H62N7O17P3S,977.313575732,M+H,+,978.320852,7
978.3277195,HMDB0012471,"(2S,6R,10R)-Trimethyl-hendecanoyl-CoA",n/a,C35H62N7O17P3S,977.313575732,M+H,+,978.320852,7
978.3277195,HMDB0001521,Tetradecanoyl-CoA,C02593,C35H62N7O17P3S,977.313573819,M+H,+,978.32085,7
273.0023475,HMDB0014543,Zoledronate,n/a,C5H10N2O7P2,271.996323708,M+H,+,273.0036,5
250.0701824,HMDB0129408,2-{[hydroxy(4-methoxy-1-benzofuran-5-yl)methylidene]amino}acetic acid,n/a,C12H11NO5,249.063722458,M+H,+,250.070998,3
279.1394697,HMDB0141089,"(1E)-1,7-diphenylhept-1-ene-3,5-dione",n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0133903,"(6E)-1-hydroxy-1,7-diphenylhepta-4,6-dien-3-one",n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0133905,"(6E)-1-(3-hydroxyphenyl)-7-phenylhepta-4,6-dien-3-one",n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0133904,"(6E)-7-(3-hydroxyphenyl)-1-phenylhepta-4,6-dien-3-one",n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0133906,"(6E)-7-(4-hydroxyphenyl)-1-phenylhepta-4,6-dien-3-one",n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0133907,"(6E)-1-(4-hydroxyphenyl)-7-phenylhepta-4,6-dien-3-one",n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0133908,(1E)-5-phenyl-1-(3-phenyloxiran-2-yl)pent-1-en-3-one,n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0133909,3-phenyl-1-{3-[(E)-2-phenylethenyl]oxiran-2-yl}propan-1-one,n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0133910,"(6E)-2-hydroxy-1,7-diphenylhepta-4,6-dien-3-one",n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0141088,"1,7-diphenylhept-1-ene-3,5-dione",n/a,C19H18O2,278.13067982,M+H,+,279.137956,5
279.1394697,HMDB0003426,Pantetheine,C00831,C11H22N2O4S,278.130027892,M+H,+,279.137304,8
120.0288164,HMDB0001147,Aminomalonic acid,C00872,C3H5NO4,119.021857653,M+H,+,120.029134,3
120.0288164,HMDB0034259,Bovinocidin,C05669,C3H5NO4,119.021857653,M+H,+,120.029134,3
